,service_request_id,requested_datetime,service_name,agency_responsible,council_district,status_description,lat,long
163,5080903,2018-07-02 09:56:00,STREET POTHOLE,LPM,7.0,CLOSED,38.2742122324,-85.6454591158
164,5080904,2018-07-02 09:56:00,ILLEGAL DUMPING,SWMS,6.0,CLOSED,38.2399909893,-85.7950688701
165,5080909,2018-07-02 09:58:00,EXTERIOR VIOL,IPL,2.0,CLOSED,38.169013676300004,-85.6884837338
166,5080910,2018-07-02 09:58:50,INTERIOR VIOL,IPL,3.0,CLOSED,38.1920147189,-85.8105021218
167,5080911,2018-07-02 10:00:37,HIGH GRASS WEEDS,IPL,5.0,CLOSED,38.2675173011,-85.8180050685
168,5050880,2018-07-02 10:01:00,STOLEN GARB CART,SWMS,4.0,CLOSED,38.23742641,-85.7310171955
169,5080912,2018-07-02 10:01:15,HIGH GRASS WEEDS,IPL,5.0,CLOSED,38.258027771799995,-85.79705137100001
170,5080913,2018-07-02 10:02:00,VAP LOT WEEDS,IPL,5.0,CLOSED,38.2632540819,-85.8040910853
171,5080915,2018-07-02 10:02:00,GARBAGE VIOLATIO,SWMS,6.0,CLOSED,38.2106962578,-85.7660808719
172,5080917,2018-07-02 10:03:00,GARBAGE VIOLATIO,SWMS,6.0,CLOSED,38.2110657108,-85.76597023229999
173,5080918,2018-07-02 10:03:31,HIGH GRASS WEEDS,IPL,6.0,CLOSED,38.2503552077,-85.7895045707
174,5080920,2018-07-02 10:05:48,HIGH GRASS WEEDS,IPL,6.0,CLOSED,38.2364565222,-85.7854807322
175,5080922,2018-07-02 10:06:00,LIGHTING REPAIR,PUBLIC WORKS,1.0,CLOSED,38.1939564204,-85.875488453
176,5036921,2018-07-02 10:07:00,ABANDON VEHICLE,METRO POLICE DEPARTMENT,4.0,OPEN,38.232914740300004,-85.73728915550001
177,5080923,2018-07-02 10:07:00,GARBAGE VIOLATIO,SWMS,1.0,CLOSED,38.2418872602,-85.8135446016
178,5080926,2018-07-02 10:10:48,VAP EXTERIOR,IPL,3.0,CLOSED,38.1672685517,-85.8236564255
179,5080928,2018-07-02 10:12:00,OVERGROWTH,LPM,26.0,CLOSED,38.2014816166,-85.6607688654
